run_accession	study_accession	sample_accession	fastq_ftp
ERR1688218	PRJEB16057	SAMEA4506993	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/008/ERR1688218/ERR1688218.fastq.gz
ERR1688219	PRJEB16057	SAMEA4506994	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/009/ERR1688219/ERR1688219.fastq.gz
ERR1688220	PRJEB16057	SAMEA4506995	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/000/ERR1688220/ERR1688220.fastq.gz
ERR1688221	PRJEB16057	SAMEA4506996	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/001/ERR1688221/ERR1688221.fastq.gz
ERR1688222	PRJEB16057	SAMEA4506997	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/002/ERR1688222/ERR1688222.fastq.gz
ERR1688225	PRJEB16057	SAMEA4507000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/005/ERR1688225/ERR1688225.fastq.gz
ERR1688233	PRJEB16057	SAMEA4506929	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/003/ERR1688233/ERR1688233.fastq.gz
ERR1688235	PRJEB16057	SAMEA4506931	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/005/ERR1688235/ERR1688235.fastq.gz
ERR1688239	PRJEB16057	SAMEA4506935	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/009/ERR1688239/ERR1688239.fastq.gz
ERR1688243	PRJEB16057	SAMEA4506939	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/003/ERR1688243/ERR1688243.fastq.gz
ERR1688244	PRJEB16057	SAMEA4506940	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/004/ERR1688244/ERR1688244.fastq.gz
ERR1688251	PRJEB16057	SAMEA4506947	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/001/ERR1688251/ERR1688251.fastq.gz
ERR1688252	PRJEB16057	SAMEA4506948	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/002/ERR1688252/ERR1688252.fastq.gz
ERR1688253	PRJEB16057	SAMEA4506949	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/003/ERR1688253/ERR1688253.fastq.gz
ERR1688255	PRJEB16057	SAMEA4506951	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/005/ERR1688255/ERR1688255.fastq.gz
ERR1688259	PRJEB16057	SAMEA4506955	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/009/ERR1688259/ERR1688259.fastq.gz
ERR1688263	PRJEB16057	SAMEA4506959	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/003/ERR1688263/ERR1688263.fastq.gz
