run_accession	study_accession	sample_accession	tax_id	scientific_name	library_name	library_layout	library_strategy	library_selection	submitted_ftp	sra_ftp
ERR1688293	PRJEB16057	SAMEA4506989	408170	human gut metagenome	10564.QCMUUEDW	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688293/10564.QCMUUEDW.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/003/ERR1688293
ERR1688294	PRJEB16057	SAMEA4506990	408170	human gut metagenome	10564.QG6Q3VMK	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688294/10564.QG6Q3VMK.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/004/ERR1688294
ERR1688295	PRJEB16057	SAMEA4506991	408170	human gut metagenome	10564.QOHVF823	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688295/10564.QOHVF823.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/005/ERR1688295
ERR1688299	PRJEB16057	SAMEA4506995	408170	human gut metagenome	10564.TNSJJS0H	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688299/10564.TNSJJS0H.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/009/ERR1688299
ERR1688301	PRJEB16057	SAMEA4506997	408170	human gut metagenome	10564.TX5QZZCE	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688301/10564.TX5QZZCE.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/001/ERR1688301
ERR1688303	PRJEB16057	SAMEA4506999	408170	human gut metagenome	10564.V40XA5EG	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688303/10564.V40XA5EG.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/003/ERR1688303
ERR1688304	PRJEB16057	SAMEA4507000	408170	human gut metagenome	10564.V6RQXJPE	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688304/10564.V6RQXJPE.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/004/ERR1688304
ERR1688307	PRJEB16057	SAMEA4507003	408170	human gut metagenome	10564.Y3XCJJPE	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688307/10564.Y3XCJJPE.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/007/ERR1688307
ERR1688308	PRJEB16057	SAMEA4507004	408170	human gut metagenome	10564.YZL1C941	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688308/10564.YZL1C941.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/008/ERR1688308
ERR1688152	PRJEB16057	SAMEA4506927	408170	human gut metagenome	10564.0QP6NJCM	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688152/10564.0QP6NJCM.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/002/ERR1688152
ERR1688155	PRJEB16057	SAMEA4506930	408170	human gut metagenome	10564.1AIL9FDX	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688155/10564.1AIL9FDX.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/005/ERR1688155
ERR1688162	PRJEB16057	SAMEA4506937	408170	human gut metagenome	10564.5CM2U7J4	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688162/10564.5CM2U7J4.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/002/ERR1688162
ERR1688163	PRJEB16057	SAMEA4506938	408170	human gut metagenome	10564.74ZDKQVK	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688163/10564.74ZDKQVK.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/003/ERR1688163
ERR1688168	PRJEB16057	SAMEA4506943	408170	human gut metagenome	10564.97I96IK4	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688168/10564.97I96IK4.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/008/ERR1688168
ERR1688170	PRJEB16057	SAMEA4506945	408170	human gut metagenome	10564.9DKW7WYN	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688170/10564.9DKW7WYN.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/000/ERR1688170
ERR1688172	PRJEB16057	SAMEA4506947	408170	human gut metagenome	10564.9RZAET2D	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688172/10564.9RZAET2D.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/002/ERR1688172
ERR1688175	PRJEB16057	SAMEA4506950	408170	human gut metagenome	10564.AY5F93TI	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688175/10564.AY5F93TI.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/005/ERR1688175
ERR1688180	PRJEB16057	SAMEA4506955	408170	human gut metagenome	10564.CCHWVERY	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688180/10564.CCHWVERY.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/000/ERR1688180
ERR1688183	PRJEB16057	SAMEA4506958	408170	human gut metagenome	10564.CV6HFKNZ	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688183/10564.CV6HFKNZ.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/003/ERR1688183
ERR1688186	PRJEB16057	SAMEA4506961	408170	human gut metagenome	10564.DJ3SQ1HX	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688186/10564.DJ3SQ1HX.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/006/ERR1688186
ERR1688190	PRJEB16057	SAMEA4506965	408170	human gut metagenome	10564.FIU1JONN	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688190/10564.FIU1JONN.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/000/ERR1688190
