Feature ID	Taxon
MJ005-barcode25-umi76363bins-ubs-3	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; Enterocloster; Enterocloster aldenensis
RS-GCF-013304185.1-NZ-JAAISS010000139.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; Enterocloster; NA
RS-GCF-012273195.1-NZ-CP050964.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; Enterocloster; NA
RS-GCF-900108895.1-NZ-FOJH01000156.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; Enterocloster; NA
RS-GCF-000371585.1-NZ-KB851059.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; Enterocloster; NA
RS-GCF-003481765.1-NZ-QULR01000098.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; Enterocloster; Enterocloster sp000431375
MJ006-1-barcode37-umi230976bins-ubs-3	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; Enterocloster; Enterocloster sp000431375
MJ006-1-barcode40-umi102783bins-ubs-4	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; Enterocloster; Enterocloster sp000431375
MJ006-1-barcode40-umi116237bins-ubs-5	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; NA; NA
MJ006-1-barcode48-umi91350bins-ubs-6	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; NA; NA
MJ006-1-barcode26-umi131497bins-ubs-3	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; NA; NA
MJ006-2-barcode68-umi143926bins-ubs-3	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; Alitiscatomonas; Alitiscatomonas aceti
GB-GCA-900066055.1-FMEF01000035.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; Alitiscatomonas; Alitiscatomonas sp900066535
GB-GCA-018223415.1-JAGTTQ010000001.1--3	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; NA; NA
MJ006-2-barcode63-umi147819bins-ubs-3	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; Ventrisoma; Ventrisoma faecale
MJ006-1-barcode40-umi81598bins-ubs-5	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; NA; NA
GB-GCA-900066735.1-FMFX01000027.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; Otoolea_134252; NA
MJ006-1-barcode25-umi10776bins-ubs-19	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; NA; NA
MJ006-2-barcode60-umi189791bins-ubs-4	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; ; 
MJ006-1-barcode37-umi157705bins-ubs-3	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; NA; NA
MJ006-1-barcode39-umi153479bins-ubs-3	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; Limivivens; Limivivens sp900066135
MJ006-2-barcode51-umi163156bins-ubs-3	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; NA; NA
MJ006-1-barcode38-umi157215bins-ubs-3	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; Hominisplanchenecus_A; Hominisplanchenecus_A faecis
KR364746	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; Blautia_A_141781; Blautia_A_141781 caecimuris
MJ006-1-barcode41-umi228693bins-ubs-3	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; Blautia_A_141781; Blautia_A_141781 caecimuris
MJ030-1-barcode49-umi81456bins-ubs-5	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; Blautia_A_141781; NA
RS-GCF-003464105.1-NZ-QSDS01000060.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; Blautia_A_141781; Blautia_A_141781 obeum
RS-GCF-000210015.1-NC-021022.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; Blautia_A_141781; Blautia_A_141781 obeum
RS-GCF-003480145.1-NZ-QUIO01000097.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; Blautia_A_141781; Blautia_A_141781 faecis
MJ006-1-barcode43-umi143258bins-ubs-3	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; Blautia_A_141781; Blautia_A_141781 faecis
RS-GCF-013302025.1-NZ-JAAIPK010000186.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; Blautia_A_141781; NA
MJ006-1-barcode36-umi231131bins-ubs-3	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; Blautia_A_141781; NA
MJ006-1-barcode31-umi69421bins-ubs-7	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; Blautia_A_141781; Blautia_A_141781 hydrogenotrophica
KX025138	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; Blautia_A_141780; NA
MJ009-1-barcode40-umi71794bins-ubs-5	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; Blautia_A_141780; Blautia_A_141780 ornithocaccae
GB-GCA-902363515.1-CABJAN010000009.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; Blautia_A_141780; Blautia_A_141780 ornithocaccae
RS-GCF-016899975.1-NZ-JACJJN010000084.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; NA; NA
RS-GCF-003481175.1-NZ-QUKF01000070.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; Fusicatenibacter; Fusicatenibacter saccharivorans
MJ006-1-barcode45-umi129034bins-ubs-3	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; NA; NA
MJ006-2-barcode58-umi133299bins-ubs-4	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; Laedolimicola; 
MJ006-1-barcode26-umi161226bins-ubs-4	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; Laedolimicola; 
KP966093	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; Merdimonas; NA
GB-GCA-000509125.1-BAII02000026.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; Clostridium_AP_143938; NA
RS-GCF-003474085.1-NZ-QRNS01000091.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; Dorea_A; Dorea_A formicigenerans
RS-GCF-018784865.1-NZ-WQPA01000083.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; Dorea_A; Dorea_A longicatena
MJ006-1-barcode42-umi135709bins-ubs-3	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; Dorea_A; 
RS-GCF-016900595.1-NZ-JACLYY010000036.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; Lachnoclostridium_B; Lachnoclostridium_B intestinigallinarum
GB-GCA-017850635.1-JAFILW010000070.1	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; Lachnoclostridium_B; Lachnoclostridium_B intestinigallinarum
MJ006-1-barcode31-umi144759bins-ubs-3	Bacteria; Bacillota_A_368345; Clostridia_258483; Lachnospirales; Lachnospiraceae; Lachnoclostridium_B; Lachnoclostridium_B ammoniilytica
